Ref_area;REF_AREA;date;obsValue
Europe;EU27;2001-11-01;114,1456507904605
Italy;ITA;2001-11-01;108,1005258236061
France;FRA;2001-11-01;118,0687465987917
United States;USA;2001-12-01;149,3602404535650
Germany;DEU;2001-12-01;105,0583719142606
Europe;EU27;2001-12-01;114,7058770203771
Italy;ITA;2001-12-01;108,9384749536374
France;FRA;2001-12-01;118,3533287065420
United States;USA;2002-01-01;150,3721437553862
Germany;DEU;2002-01-01;105,4474704639359
Europe;EU27;2002-01-01;114,9859836600791
Italy;ITA;2002-01-01;108,1005258236061
France;FRA;2002-01-01;119,3021151209969
United States;USA;2002-02-01;150,3534032911918
Germany;DEU;2002-02-01;105,7068738193614
Europe;EU27;2002-02-01;115,8263294802105
Italy;ITA;2002-02-01;110,4283085042362
France;FRA;2002-02-01;120,3351783094187
United States;USA;2002-03-01;151,3832457633632
Germany;DEU;2002-03-01;106,2256805302124
Europe;EU27;2002-03-01;116,6666623498291
Italy;ITA;2002-03-01;111,1731814170394
France;FRA;2002-03-01;120,6198680503414
United States;USA;2002-04-01;151,8231233779932
Germany;DEU;2002-04-01;106,2256805302124
Europe;EU27;2002-04-01;115,8263294802105
Italy;ITA;2002-04-01;107,0763365341259
France;FRA;2002-04-01;121,2734166729811
United States;USA;2002-05-01;152,6026841708489
Germany;DEU;2002-05-01;105,0583719142606
Europe;EU27;2002-05-01;116,1064361199124
Italy;ITA;2002-05-01;111,3593338514956
France;FRA;2002-05-01;119,5024204547803
United States;USA;2002-06-01;154,0905396632276
